word,median,mean,count
nebraska,0.8143176621503392,0.8143176621503392,1
itemized,0.8145702519787872,0.8017783596523362,4
lou,0.8149582311266426,0.8149582311266426,1
centered,0.8153608210658435,0.8153608210658435,1
u,0.815750482018524,0.8764143812984859,29
fragrance,0.8160167603159489,0.7992543948443585,5
sisters,0.8161052681493917,0.756787212877625,10
soo,0.8161232854020409,0.8161232854020409,1
intriguing,0.8162470262490603,0.8162470262490603,1
mother,0.8172916318096821,0.7814556417661248,54
villa,0.8172923974862266,0.8266830052505044,3
uniqueness,0.8180253782540333,0.8180253782540333,1
away.\n\ni,0.8180412430955722,0.8180412430955722,2
birth,0.8183875888218519,0.8380326223589736,4
restroom,0.8184414610909159,0.8321194601172832,16
wendy,0.8186215302146855,0.7843868424046734,10
costumer,0.8187040968504258,0.8174025717943125,4
asada,0.820154810486517,0.820154810486517,1
mid-week,0.8245134778090308,0.8245134778090308,1
minced,0.8245415602865229,0.8245415602865229,1
blueberries,0.8252444183629999,0.8516275531844751,3
snippy,0.8253128645354189,0.8340638247620549,4
yo,0.8257837077060666,0.8348203820840285,8
seamless,0.8267844408173893,0.8267844408173893,1
remodeled,0.8271921983783883,0.8271921983783883,2
fox,0.8276309968655196,0.8276309968655196,2
baskets,0.8291184114426976,0.838496930190028,4
ruth,0.8293390023201545,0.7802975316725848,3
bake,0.8294486743852221,0.679506866475216,7
assorted,0.8295672883970976,0.8295672883970976,1
underground,0.830429701827893,0.830429701827893,1
w,0.8312225361408184,1.1745215396201647,4
peach,0.8321397562069357,0.8321397562069357,2
chandeliers,0.8321885885981793,0.8321885885981793,1
2008,0.8331640549013121,0.8985011586186674,5
adjectives,0.8332535450177332,0.8332535450177332,1
griddle,0.8341507116248986,0.8341507116248986,1
harp,0.8341806264580157,0.8341806264580157,2
knitting,0.8356541721608838,0.7332009545674216,6
switch,0.8358892589479037,0.8579711165508127,8
sapphire,0.8363990862418701,0.8363990862418701,1
donations,0.8365440920572598,0.8365440920572598,2
snobby,0.8365817691894959,0.80703400217222,4
notification,0.836860607261923,0.8491427419444765,3
pampered,0.8371710832022474,0.8883490387840692,3
shouting,0.8375421082539044,0.8375421082539044,1
sooner,0.837866101972071,0.8578586132286546,6
sandy,0.8381243929732962,0.9105237651337424,4
filed,0.838412136329897,0.838412136329897,2
sanitary,0.8392275031880684,0.8392275031880684,1
confirmation,0.8395421040304699,0.8591964650190085,9
nurse,0.840080828943004,0.8442323297467114,4
cried,0.8401451722404298,0.7059959239918397,5
rectify,0.8408266188312636,0.8408266188312636,1
dvds,0.8413081885981365,0.8413081885981365,1
royalty,0.8415889556588937,0.8415889556588937,1
famous\,0.8422747852135272,0.859359678160044,3
katie,0.8428558426853836,0.6497312778323053,6
informative,0.8430424788784268,0.8430424788784268,2
denied,0.8433500970110663,0.85057546633212,4
definitley,0.8442605159171259,0.8442605159171259,2
salons,0.8452924255520352,0.8671932936110431,27
celebrity,0.8457406470235258,0.8975650684770903,3
barbers,0.8462420464006735,0.8630594917964297,3
stove,0.846473582578094,0.8711950609802429,4
hoopla,0.8467922731446007,0.8621880169735286,3
soccer,0.847188146154394,0.847188146154394,1
crabcakes,0.8472443471601939,0.9149197557847459,5
nice\,0.8474976172346239,0.8474976172346239,1
chemicals,0.8475019871870535,0.880824591170488,5
benefits,0.8477368883653038,0.8477368883653038,1
scan,0.8481966283173904,0.8481966283173904,1
9:00,0.8482075397365905,0.8482075397365905,1
expanding,0.8483681486154188,0.8483681486154188,1
continues,0.8489682542287725,0.8233601605636892,8
values,0.8492313770589479,0.8492313770589479,1
charity,0.8498165109146956,0.8498165109146956,2
cabinet,0.8504623309913383,0.949198297690049,4
